Comment,Designator,Footprint, LCSC
12mm_Buzzer,Buzzer701,,
22uF,"C101,C102,C103,C107,C108,C110,C111",0805,C45783
1uF,C104,0805,C28323
20pF,"C105,C109",0603,C1648
100nF,C106,0805,C49678
10uF,C1101,0805,C15850
1N4007,D1001,"SMA,DO-214AC",C95872
RX,D101,0603,C72043
RGB LED,D102,,
TX,D103,0603,C2286
L,D104,0603,C72038
IR LED,D701,,
ESDA5V3L,"ESD201,ESD301,ESD401,ESD501,ESD1101,ESD1201,ESD1202",SOT-23-3, C87911
TLC-FSMD050,F1201,0603,C261937
Conn_02x03_Odd_Even,J101,,
USB_B,J1201,,
BlueSMiRF,J1203,,
PJ320A,"J201,J301,J401,J501,J1001,J1202",,
RELAY,K1001,,
BSS138,"Q701,Q801,Q901",SOT-23-3, C82045
10k,"R104,R101,R102,R103,R105,R108,R115,R116,R201,R202,R801,R802",0603, C25804
1k,"R111,R113,R114",0603,C21190
330,"R112,R106,R107",0603,C23138
22,"R1202,R1201",0603,C23345
47,R701,1206,  C25384
RESET,SW101,,
ATmega32U4-AU,U101,QFP-44_10.0x10.0x0.8P,C44854
TSOP34156,U1301,,
16 MHz,Y101,SMD-3225_4P, C13738
