Designator,Mid X,Mid Y,Layer,Rotation
C101,168.2623,-96.1263,bottom,90
C102,121.3612,-121.0056,bottom,270
C103,167.9321,-108.5342,bottom,90
C104,141.0716,-113.8428,bottom,180
C105,133.6548,-109.3724,bottom,0
C106,152.146,-107.823,bottom,0
C107,123.444,-103.5304,bottom,270
C108,167.8432,-84.6328,bottom,90
C109,133.6548,-102.9208,bottom,180
C110,157.2768,-76.7588,bottom,0
C111,167.6908,-121.3612,bottom,90
C1101,152.0952,-114.046,bottom,270
D101,148.5392,-113.9952,bottom,90
D103,133.6548,-98.0948,bottom,180
D104,152.654,-97.7392,bottom,270
D1001,127.8255,-74.676,bottom,0
ESD201,112.6236,-115.9256,bottom,270
ESD301,176.784,-89.6112,bottom,90
ESD401,176.4284,-101.8032,bottom,90
ESD501,176.4284,-113.538,bottom,90
ESD1101,139.7,-121.0056,bottom,90
ESD1201,176.6824,-126.5936,bottom,90
ESD1202,115.0112,-108.7628,bottom,180
F1201,149.6695,-120.6246,bottom,180
Q701,144.7165,-79.375,bottom,270
Q801,153.4668,-84.709,bottom,180
Q901,139.5476,-83.312,bottom,180
R101,178.054,-83.5152,bottom,90
R102,174.9044,-94.8436,bottom,90
R103,177.8508,-94.7928,bottom,90
R104,174.9044,-83.6168,bottom,90
R105,174.9552,-107.0356,bottom,90
R106,142.3035,-96.393,bottom,270
R107,144.4625,-96.393,bottom,270
R108,177.9524,-106.9848,bottom,90
R111,150.2156,-114.046,bottom,90
R112,140.716,-96.393,bottom,270
R113,133.6675,-99.695,bottom,180
R114,155.7528,-97.7392,bottom,270
R115,133.604,-93.472,bottom,180
R116,149.1996,-97.028,bottom,90
R201,114.1222,-123.444,bottom,90
R202,111.2012,-123.444,bottom,90
R701,148.0185,-79.248,bottom,270
R801,150.1013,-84.8995,bottom,90
R802,139.4714,-86.106,bottom,0
R1201,144.2085,-114.1095,bottom,270
R1202,145.923,-114.1095,bottom,270
U1,143.0674,-105.3846,bottom,90
Y101,133.7056,-106.2228,bottom,90
